region,comuna,hh_d_acc,hh_d_accesi,hh_d_act,hh_d_appart,hh_d_asis,hh_d_cot,hh_d_entorno,hh_d_esc,hh_d_estado,hh_d_habitab,hh_d_hacina,hh_d_jub,hh_d_mal,hh_d_medio,hh_d_prevs,hh_d_rez,hh_d_seg,hh_d_servbas,hh_d_tsocial,pobreza_multi_4d,pobreza_multi_5d
Region de Los Lagos,Curaco de Velez,0,0.10891089108910891,0.039603960396039604,0.19801980198019803,0,0.1188118811881188,0.10891089108910891,0.594059405940594,0.0594059405940594,0.0594059405940594,0,0.1188118811881188,0.09900990099009901,0,0,0.039603960396039604,0,0.25742574257425743,0.12871287128712872,0.2079207920792079,0.2079207920792079
Region de Los Lagos,Dalcahue,0,0.08300395256916997,0.06274509803921569,0.19607843137254902,0.050980392156862744,0.25984251968503935,0.08300395256916997,0.5217391304347826,0.054901960784313725,0.12156862745098039,0.06666666666666667,0.1450980392156863,0.0784313725490196,0,0.047244094488188976,0.01568627450980392,0.00784313725490196,0.09803921568627451,0.1411764705882353,0.16334661354581673,0.1927710843373494
Region de Los Lagos,Fresia,0.03225806451612903,0.11059907834101383,0.07834101382488479,0.04608294930875576,0.009216589861751152,0.5190476190476191,0.11059907834101383,0.5668202764976958,0.055299539170506916,0.07373271889400922,0.018433179723502304,0.08755760368663594,0.05069124423963134,0,0.032407407407407406,0,0.04608294930875576,0.2626728110599078,0.02304147465437788,0.2822966507177033,0.32057416267942584
Region de Los Lagos,Frutillar,0.06746031746031746,0.023715415019762844,0.03529411764705882,0.11372549019607843,0.023529411764705882,0.48221343873517786,0.05138339920948617,0.5529411764705883,0.10588235294117647,0.16470588235294117,0.08627450980392157,0.13725490196078433,0.09803921568627451,0.027450980392156862,0.050980392156862744,0.047058823529411764,0,0.12698412698412698,0.17254901960784313,0.2550607287449393,0.2612244897959184
Region de Los Lagos,Llanquihue,0,0.06620209059233449,0.13240418118466898,0,0.027874564459930314,0.4425087108013937,0.07317073170731707,0.40069686411149824,0,0.09407665505226481,0.09407665505226481,0.18815331010452963,0.04529616724738676,0.006968641114982578,0.017421602787456445,0.041811846689895474,0,0.03832752613240418,0.0313588850174216,0.18374558303886926,0.21554770318021202
Region de Los Lagos,Los Muermos,0,0.10756972111553785,0.055776892430278883,0.08764940239043825,0.0398406374501992,0.4302788844621514,0.10756972111553785,0.50199203187251,0.07171314741035857,0.09163346613545817,0.035856573705179286,0.07171314741035857,0.05263157894736842,0,0,0,0.02390438247011952,0.4103585657370518,0.099601593625498,0.2550607287449393,0.29959514170040485
Region de Los Lagos,Maullin,0.0030864197530864196,0.1388888888888889,0.07407407407407407,0.037037037037037035,0.033950617283950615,0.5277777777777778,0.14814814814814814,0.5648148148148148,0.07716049382716049,0.16358024691358025,0.08641975308641975,0.037037037037037035,0.046875,0.009259259259259259,0.05246913580246913,0.009259259259259259,0.012345679012345678,0.32407407407407407,0.10802469135802469,0.25625,0.328125
Region de Los Lagos,Osorno,0.02743041549011698,0.05689102564102564,0.1105326391670004,0.02892728003214142,0.028434120945134162,0.4141535987133092,0.08012820512820513,0.3821170809943865,0.15483353389490573,0.22947537044453345,0.11013215859030837,0.1105326391670004,0.07237635705669482,0.023227873448137766,0.026273241713823767,0.04534510433386838,0.024429315178213857,0.10052062474969964,0.13696435722867442,0.20627062706270627,0.21983471074380165
Region de Los Lagos,Puerto Montt,0.017384731670445956,0.06729323308270677,0.0981203007518797,0.04454511136277841,0.03308270676691729,0.38601134215500943,0.07530120481927711,0.38614979299962365,0.07129313613955252,0.13934115865202576,0.07481203007518797,0.08458646616541353,0.07077971233913702,0.00941265060240964,0.038447041085563516,0.02180451127819549,0.029323308270676692,0.1357142857142857,0.10639097744360902,0.20387596899224805,0.21924718665114473
Region de Los Lagos,Puerto Octay,0.028112449799196786,0.13725490196078433,0.10588235294117647,0.06274509803921569,0.027450980392156862,0.3215686274509804,0.15294117647058825,0.45098039215686275,0.199203187250996,0.250996015936255,0.07450980392156863,0.10980392156862745,0.09019607843137255,0.01568627450980392,0.019762845849802372,0.03529411764705882,0.03529411764705882,0.1843137254901961,0.16470588235294117,0.20987654320987653,0.24279835390946503
Region de Los Lagos,Puerto Varas,0.003110419906687403,0.07253086419753087,0.10030864197530864,0.043410852713178294,0.027777777777777776,0.4421875,0.07716049382716049,0.3395061728395062,0.08074534161490683,0.11490683229813664,0.05864197530864197,0.1527777777777778,0.06055900621118013,0.004629629629629629,0.043209876543209874,0.041666666666666664,0.027777777777777776,0.16434108527131783,0.1111111111111111,0.22115384615384615,0.23510466988727857
Region de Los Lagos,Puqueldon,0,0.2571428571428571,0,0,0.06666666666666667,0.2857142857142857,0.2571428571428571,0.7428571428571429,0.09523809523809523,0.09523809523809523,0.08571428571428572,0.08571428571428572,0.06666666666666667,0,0,0.047619047619047616,0.01904761904761905,0.8,0.08571428571428572,0.44761904761904764,0.5047619047619047
Region de Los Lagos,Purranque,0.05785123966942149,0.0684931506849315,0.14246575342465753,0.00821917808219178,0.019178082191780823,0.43820224719101125,0.0821917808219178,0.4958904109589041,0.0821917808219178,0.13424657534246576,0.06027397260273973,0.07123287671232877,0.01643835616438356,0.0136986301369863,0.02197802197802198,0,0.038356164383561646,0.12054794520547946,0.07671232876712329,0.21529745042492918,0.2521246458923513
Region de Los Lagos,Puyehue,0,0.13978494623655913,0.15053763440860216,0.043010752688172046,0.010752688172043012,0.28,0.15053763440860216,0.4982078853046595,0.13620071684587814,0.2903225806451613,0.1827956989247312,0.07168458781362007,0.14695340501792115,0.010752688172043012,0,0.05017921146953405,0.05734767025089606,0.12186379928315412,0.24014336917562723,0.2509090909090909,0.2872727272727273
Region de Los Lagos,Queilen,0,0.08888888888888889,0.007407407407407408,0.07037037037037037,0.08148148148148149,0.5148148148148148,0.1925925925925926,0.7296296296296296,0.13333333333333333,0.23703703703703705,0.13333333333333333,0.04814814814814815,0.06666666666666667,0.1037037037037037,0.09259259259259259,0.014814814814814815,0,0.2962962962962963,0.1111111111111111,0.337037037037037,0.40370370370370373
Region de Los Lagos,Quellon,0.02079002079002079,0.0997920997920998,0.0997920997920998,0.0997920997920998,0.04573804573804574,0.41995841995842,0.10810810810810811,0.5322245322245323,0.13513513513513514,0.21205821205821207,0.09394572025052192,0.08731808731808732,0.17463617463617465,0.008316008316008316,0.031185031185031187,0.0395010395010395,0,0.3569937369519833,0.0498960498960499,0.32075471698113206,0.36116910229645094
Region de Los Lagos,Quemchi,0.04296875,0.16996047430830039,0.07421875,0.078125,0.02734375,0.34765625,0.20553359683794467,0.34765625,0.15234375,0.23046875,0.08984375,0.04296875,0.0390625,0.046875,0.07421875,0.01953125,0,0.3046875,0.0546875,0.22265625,0.30434782608695654
